username,tweet
x1namwoohansang,"WTT / want to trade   NCT Dream Hot Sauce Jewel Case ver. Have: Haechan ar pc Want: Jisung ar pc Klo ada yg mau trade nya cod blh, prefer jaksel Klo mau lwt shopee bisa dm dlu TRADE ONLY 📍 Jaksel,ina  tag wts wtb wtt nct dream renjun jeno haechan jaemin mark chenle jisung  https://t.co/DATy1huw1W"
kss_ph,"✨ONHAND GOT7 - Breath of Love: Last Piece (with POB)  ✅ONHAND  ✅P1,300 ✅Can do COD via Shopee link:  https://t.co/NwCVdSvoq9  https://t.co/AvpJqc5QRW"
97lin3r,"🛒 #97LIN3R_WTS LFB PH ONHAND  ☆ Wannaone - To Be One ✦ has a flaw on the outbox (will send pics thru dms) ✦ 400 + lsf  ☆ Winner - We (2nd Mini Album) ✦ complete inclu ✦ 450 + lsf  ✦ j&amp;t, jrs, shopee co/cod ✦ add ₱5-10 for pf! ✦ dm if interested!  https://t.co/MupfTMc2cH"
kss_ph,✨ONHAND SEALED DAY6 Even Of Day - The Book of US: Gluon 1st Mini Album  ✅ONHAND  ✅P650 ✅Can do COD via Shopee link:  https://t.co/hcP72lIsAJ  https://t.co/u1C8EJWUDv
juliafatihaah,Stock dah sampai guys ❤️ tinggal watermelon (1) and honeydew je (1)   Lip scrub ada lagi 5 je!   Boleh beli thru shopee (link di bio) atau boleh ws personal  https://t.co/vMnQ2w5qBN   Sapa cepat dia dapat tauu! COD available area balok sg karang beserah 🥰 #temyraclekuantan
yeahdamn_bang,@KamekameHarutoo sa shopee... kase cod😭
amiraomera,"Hello ! Laju je semua dapat duit kan. Siapa nak panic buying body scrub boleh jugak. Sis open order ni. Free shipping okay kat shopee.  Cod: Radius 10 km from bukit katil, Melaka Link:  https://t.co/Kk0ColARKX  https://t.co/oxkJNroJU5"
busanapria,Saya menjual BPS COD Kemeja Pria M... seharga Rp71.000. Dapatkan di Shopee sekarang!  https://t.co/lRtrfymYji #ShopeeID  https://t.co/xfoHUgkumF
kachineph,wts/lfb   ○ enhypen ggu ggu package member set      - 100 pesos each   ♡ onhand ♡ cod ♡ shopee checkout  https://t.co/ijrsJjEPOd
izlandph,will add some rare finds here ! please buy them ㅠㅠ cod available through shopee too~ posting by 7pm!
fasquatch,@inuurl shopee cod shopee cod bayar langsung di tempat
kss_ph,✨KAI (EXO) - KAI (开)   ✅ONHAND  ✅Photobook - Z ver  ✅Flipbook ✅P950 ✅Can do COD via Shopee link:  https://t.co/Myfbqd4rik  https://t.co/t07LZHjBs1
dipanggilpopo,@akbarst_ bukan kurir cod shopee akumah
kachineph,"wts/lfb ○ enhypen ggu ggu package   &lt;&gt; photocards       - 120 pesos each  &lt;&gt; notebook + outbox      - 100 pesos &lt;&gt; accordion, postcard, 4 cut, 2 stickers      - 120 pesos &lt;&gt;photobook       - 110 pesos   + 5 for packaging fee  ♡ cod ♡ shopee checkout  ♡ onhand  https://t.co/wQSutu6wdH"
enhypenmerchph,GGU GGU PACKAGE TINGI (ONHAND) Red exclamation mark symbol  Jungwon set=250 Jay set=250 Ni-ki set=250 Sunoo set=250 Jake set=250 Polaroids set=200  AVAILABLE ALSO IN SHOPEE (COD) ❗️❗️  comment or dm mine+item  https://t.co/VDbxLMsTKA
alaina190811,"Hello! Welcome to Alaina's Cart  Buying, Selling, and Trading 🛒 💵MOP: Gcash, Shopee Pay, COD 🛵MOD: Shopee c/o 📍LOC: Pampanga  Tap thread to see what I want to trade, to buy and what I'm selling⬇️"
namosacart,"lf nayeon and sana photocards, can do shopee cod because I don't have gcash"
kachineph,♡ pb + cd + standee + postcard (mayday) 120 pesos each   ♡ han seungwoo album - 120 pesos   -ohand -shopee checkout -cod  https://t.co/rGnl6RJImB
dongbeokki,"WTS/LFB  ✨ Blackpink The Album Unsealed (Version 4)  ♡ INCLUSIONS: PB, CD, Lyric Paper   💵 Php 350   MOP: Gcash, BDO, COD, Shopeepay MOD: J&amp;T, Shopee checkout  ✨ OFFICIAL and PRELOVED ✨ From collection. Letting go of my BP merch.   ✨ Message me for more questions! ❤  https://t.co/OgJx7iqTIf"
johnisraelsarm1,@jyeojelyiii @buddymarketph Can do cod sa shopee?
loeymart,"📌 #LOEYMART_OH onhand wts ph  @ Star1 Magazine Korea Vol.110  February 2021 Issue  — KIM YOUNG DAE / YOUNGDAE  — KIM SEON HO / SEONHO   💸 Php5OO +LSF ⭕️ COD available via Shopee ❗️ NEW, never used 💌 Please send a DM to INQUIRE/order  https://t.co/9cVp5ohDN4"
pathplumeria,"[ help RT ]  BUY 1 BE ESSENTIAL Unsealed TAKE 1 Random member from VTXBTS OFFICIAL ❌Random pc2 and qr   💸 FOR ONLY 480 all-in+lsf 10 SLOTS!!!  MOD: LBC, JRS, GGX, SCO, SDD MOP: GCash muna DOP: PAYO/WITHIN 24HRS  COMMENT MINE+QTY   COD AVAILABLE ON SHOPEE  https://t.co/MZFLWhXVZi"
kachineph,"wts/lfb   ♡victon photocard | postcard  💸111 pesos each  (seungwoo, chan, sejun, hanse, subin, seungsik)  💸111 pesos each photo set -8pcs ea set!!! ♡( light ver | dark ver )  ♡pb + cd + standee + postcard  💸120 pesos each   -onhand -cod -shopee checkout  https://t.co/Khl8c839RW"
skinvalleyco,"@merakistoreee hi babe! I ada jual JelitaKL and ZarZou  🛍️ free shipping on shopee 🛵 COD Langkawi ✨ Free gifts  you can ask me anything, too!   https://t.co/VqMgjWMMJD   https://t.co/2TtTG7moML"
crunchypuchong,"@Aaestheticsshop Hi awak, boleh try cuba Mouthgasm. Sedappp. kita ada jual Mouthgasm Crunchy tau! Rasa dia lain daripada lain 😍 ada flavour mocha dengan macchiato 🍪🍫 Cod kita buat area puchong tapi kalau nak pos boleh visit shopee kita   https://t.co/XkbWHgHv4A  https://t.co/y6jafenx0r"
pipipipaw,Want to sell #wts pc :   - ten resonance pt.2 departure  140k  - hendery resonance pt.1 future 85k - doyoung id card departure 180k - exo sc 1 billionviews  85k  Ready INA         ✅ Includ packing   ✅ Shopee               ✅ Tokped               ✅ Dom jaktim : COD      ✅  https://t.co/lomvh1IRoZ
crunchypuchong,"@annurrr__ Hi awak,  kita ada jual Mouthgasm Crunchy tau! Rasa dia lain daripada lain 😍 ada flavour mocha dengan macchiato 🍪🍫 Cod kita buat area puchong tapi kalau nak pos boleh visit shopee kita   https://t.co/XkbWHgHv4A  https://t.co/y6jafenx0r"
crunchypuchong,"@aimirosly___ Hi awak, boleh try cuba Mouthgasm. Sedappp. kita ada jual Mouthgasm Crunchy tau! Rasa dia lain daripada lain 😍 ada flavour mocha dengan macchiato 🍪🍫 Cod kita buat area puchong tapi kalau nak pos boleh visit shopee kita   https://t.co/XkbWHgHv4A  https://t.co/y6jafenx0r"
crunchypuchong,"@danishaqiqie @TirahZzaini Hi awak, boleh try cuba Mouthgasm. Sedappp. kita ada jual Mouthgasm Crunchy tau! Rasa dia lain daripada lain 😍 ada flavour mocha dengan macchiato 🍪🍫 Cod kita buat area puchong tapi kalau nak pos boleh visit shopee kita   https://t.co/XkbWHgHv4A  https://t.co/y6jafenx0r"
crunchypuchong,"@KareenaaOthman Hi awak, boleh try cuba Mouthgasm. Sedappp. kita ada jual Mouthgasm Crunchy tau! Rasa dia lain daripada lain 😍 ada flavour mocha dengan macchiato 🍪🍫 Cod kita buat area puchong tapi kalau nak pos boleh visit shopee kita   https://t.co/XkbWHgHv4A  https://t.co/y6jafenx0r"
crunchypuchong,"@_coqkodok Hi awak, boleh try cuba Mouthgasm. Sedappp. kita ada jual Mouthgasm Crunchy tau! Rasa dia lain daripada lain 😍 ada flavour mocha dengan macchiato 🍪🍫 Cod kita buat area puchong tapi kalau nak pos boleh visit shopee kita   https://t.co/XkbWHgHv4A  https://t.co/y6jafenx0r"
crunchypuchong,@al1together_ Hi awak ! kita ada jual Mouthgasm Crunchy tau! Rasa dia lain daripada lain 😍 ada flavour mocha dengan macchiato 🍪🍫 Cod kita buat area puchong tapi kalau nak pos boleh visit shopee kita   https://t.co/XkbWHgHv4A  https://t.co/y6jafenx0r
zieqong,Shopee cod shopee cod.
cheras_info,"RT @arfyraco: @_heartyjay If taktau nak beli apa boleh cuci mata dekat shopee kita hehe ada banyak local product alluskin, temyracle &amp; zarzou   Shop here  https://t.co/IFz0uVTimc 📍COD Shah Alam | Cheras  ✅Redeem coins ✅Choose freegift ✅Free shipping …  https://t.co/sJcCJJQ73k"
cheras_info,"RT @arfyraco: @itsmeeeealiaa If taktau nak beli apa boleh cuci mata dekat shopee kita hehe ada banyak local product alluskin, temyracle &amp; zarzou  Shop here  https://t.co/IFz0uVTimc 📍COD Shah Alam | Cheras  ✅Redeem coins ✅Choose freegift ✅Free shippin…  https://t.co/sJcCJJQ73k"
cheras_info,"RT @arfyraco: If taktau nak beli apa boleh cuci mata dekat shopee kita hehe ada banyak local product alluskin, temyracle &amp; zarzou   Shop here  https://t.co/IFz0uVTimc 📍COD Shah Alam | Cheras  ✅Redeem coins ✅Choose freegift ✅Free shipping (shopee) ✅Fa…  https://t.co/b0P6pA96nx"
loeymart,"📌 #LOEYMART_OH onhand exo pc wts ph  EXO-SC 1 Billion Views Phone Tab — SEHUN Ver.  💸 Php9OO +lsf ❗️ SEALED &amp; NEW, never used ⭕️ COD available via Shopee 💌 Please send a DM to INQUIRE/order  https://t.co/PmbWhUfnhm"
